1,10,6,4,[5, 5, 3, 4, 3, 3],[7, 7, 8, 1]
73,10,6,4,[4, 5, 5, 2, 3, 5],[1, 6, 6, 1]
74,10,5,5,[3, 4, 5, 5, 3],[2, 6, 2, 7, 2]
75,10,7,3,[4, 5, 6, 3, 3, 3, 4],[9, 1, 1]
76,10,8,2,[5, 6, 3, 5, 5, 4, 3, 5],[8, 1]
77,10,6,4,[5, 3, 5, 2, 6, 3],[7, 7, 1, 1]
78,10,8,2,[3, 3, 3, 5, 4, 3, 3, 5],[2, 7]
79,10,5,5,[4, 3, 3, 5, 5],[2, 6, 6, 2, 1]
80,10,7,3,[6, 4, 4, 5, 6, 6, 5],[1, 3, 7]
81,10,7,3,[5, 3, 5, 4, 2, 5, 5],[1, 6, 1]
82,10,5,5,[6, 6, 6, 5, 6],[3, 7, 3, 7, 1]
83,10,8,2,[3, 3, 3, 3, 3, 3, 2, 3],[6, 8]
84,10,7,3,[6, 6, 5, 5, 5, 6, 5],[8, 3, 7]
86,10,7,3,[6, 4, 6, 6, 3, 5, 6],[7, 1, 2]
87,10,6,4,[6, 7, 6, 7, 5, 7],[3, 8, 8, 4]
88,10,7,3,[5, 5, 6, 6, 6, 6, 5],[3, 1, 7]
89,10,7,3,[5, 5, 6, 5, 5, 6, 5],[1, 9, 3]
90,10,6,4,[6, 6, 4, 5, 6, 6],[7, 7, 3, 2]
91,10,7,3,[3, 5, 3, 5, 5, 3, 4],[7, 2, 2]
92,10,9,1,[5, 6, 5, 6, 6, 5, 6, 6, 4],[1]
93,10,7,3,[5, 3, 4, 6, 3, 5, 3],[2, 7, 8]
94,10,7,3,[4, 6, 5, 5, 5, 6, 6],[2, 1, 1]
95,10,7,3,[4, 3, 5, 3, 5, 3, 4],[2, 2, 7]
96,10,6,4,[4, 6, 4, 6, 5, 6],[2, 7, 3, 7]
97,10,5,5,[5, 5, 4, 5, 4],[7, 3, 3, 7, 7]
98,10,6,4,[6, 5, 4, 6, 6, 4],[3, 3, 7, 7]
99,10,9,1,[5, 6, 4, 4, 5, 4, 5, 6, 6],[1]
100,10,6,4,[5, 5, 3, 3, 5, 3],[2, 7, 6, 2]
101,10,5,5,[3, 4, 3, 3, 2],[5, 5, 1, 5, 1]
102,10,7,3,[6, 3, 3, 5, 4, 3, 4],[7, 1, 7]
103,10,6,4,[6, 5, 4, 6, 6, 4],[2, 7, 3, 7]
104,10,7,3,[6, 4, 5, 4, 5, 6, 4],[2, 7, 7]
105,10,7,3,[4, 4, 4, 4, 6, 5, 6],[2, 1, 7]
106,10,8,2,[6, 6, 4, 3, 3, 3, 6, 6],[7, 1]
107,10,6,4,[6, 6, 6, 5, 5, 5],[7, 1, 7, 3]
108,10,7,3,[6, 7, 6, 6, 4, 6, 6],[3, 9, 3]
109,10,6,4,[4, 6, 6, 4, 2, 2],[9, 7, 1, 1]
110,10,5,5,[3, 3, 4, 3, 4],[5, 5, 5, 5, 2]
111,10,5,5,[3, 4, 3, 4, 2],[5, 1, 5, 1, 1]
112,10,3,7,[3, 3, 4],[5, 1, 5, 2, 2, 5, 5]
113,10,8,2,[3, 3, 3, 3, 6, 3, 5, 3],[9, 7]
114,10,7,3,[6, 6, 4, 6, 5, 5, 4],[7, 2, 3]
115,10,3,7,[4, 4, 5],[6, 6, 3, 2, 3, 6, 6]
116,10,7,3,[4, 3, 5, 4, 3, 5, 4],[7, 6, 1]
118,10,6,4,[6, 6, 5, 6, 5, 4],[7, 3, 7, 3]
119,10,8,2,[5, 6, 5, 5, 4, 6, 6, 5],[2, 7]
120,10,7,3,[7, 6, 4, 7, 4, 5, 6],[3, 1, 9]
121,10,7,3,[4, 5, 3, 5, 4, 3, 4],[1, 1, 7]
122,10,4,6,[6, 4, 4, 6],[3, 7, 7, 3, 3, 7]
123,10,7,3,[5, 6, 5, 6, 6, 6, 5],[8, 3, 4]
125,10,6,4,[4, 4, 3, 4, 4, 5],[6, 2, 6, 1]
126,10,7,3,[4, 5, 6, 6, 5, 5, 6],[9, 3, 3]
127,10,8,2,[3, 6, 4, 6, 4, 5, 6, 6],[2, 1]
128,10,8,2,[6, 4, 6, 3, 4, 3, 6, 3],[2, 7]
129,10,4,6,[5, 5, 4, 4],[6, 6, 6, 3, 6, 3]
130,10,5,5,[2, 2, 2, 3, 3],[1, 1, 4, 1, 5]
131,10,4,6,[4, 3, 2, 4],[5, 1, 1, 5, 1, 5]
132,10,7,3,[5, 5, 6, 5, 5, 4, 6],[1, 7, 7]
133,10,5,5,[6, 6, 5, 4, 6],[7, 2, 3, 7, 3]
134,10,8,2,[6, 4, 4, 5, 6, 4, 6, 6],[1, 1]
135,10,5,5,[7, 7, 5, 5, 5],[9, 2, 8, 1, 2]
136,10,5,5,[3, 5, 3, 3, 4],[7, 2, 1, 6, 6]
137,10,6,4,[6, 7, 6, 5, 5, 7],[9, 3, 3, 2]
138,10,7,3,[5, 4, 4, 3, 4, 5, 3],[1, 2, 6]
139,10,7,3,[4, 3, 4, 5, 4, 3, 3],[6, 2, 6]
140,10,6,4,[3, 3, 4, 5, 4, 3],[2, 2, 6, 6]
141,10,6,4,[4, 5, 5, 3, 4, 3],[6, 2, 6, 1]
142,10,7,3,[2, 3, 5, 3, 5, 3, 2],[6, 8, 1]
143,10,6,4,[3, 4, 2, 3, 2, 3],[6, 1, 6, 7]
144,10,6,4,[3, 5, 5, 5, 3, 5],[2, 6, 2, 2]
145,10,7,3,[5, 3, 6, 3, 3, 4, 6],[7, 1, 7]
146,10,6,4,[4, 3, 4, 4, 7, 6],[1, 9, 8, 2]
147,10,7,3,[5, 3, 4, 4, 4, 4, 3],[8, 1, 7]
148,10,7,3,[5, 6, 5, 4, 5, 6, 6],[3, 7, 3]
149,10,5,5,[4, 5, 2, 3, 3],[7, 1, 6, 1, 6]
150,10,6,4,[7, 5, 5, 6, 6, 6],[9, 4, 8, 4]
151,10,7,3,[6, 6, 6, 6, 4, 6, 5],[3, 7, 1]
152,10,6,4,[5, 5, 6, 6, 5, 6],[3, 7, 7, 7]
153,10,6,4,[6, 6, 4, 5, 6, 6],[7, 7, 2, 3]
154,10,6,4,[7, 6, 6, 7, 6, 5],[3, 9, 9, 4]
155,10,8,2,[7, 7, 6, 7, 6, 6, 5, 6],[4, 2]
156,10,8,2,[7, 6, 7, 5, 6, 6, 7, 4],[1, 2]
157,10,6,4,[5, 5, 5, 5, 5, 4],[1, 6, 3, 6]
158,10,6,4,[3, 5, 4, 4, 5, 4],[1, 6, 1, 1]
159,10,7,3,[4, 5, 3, 3, 4, 4, 3],[7, 6, 1]
160,10,7,3,[6, 4, 5, 5, 3, 5, 3],[1, 9, 1]
161,10,4,6,[3, 5, 5, 5],[1, 6, 6, 1, 6, 1]
162,10,8,2,[5, 5, 4, 6, 6, 6, 5, 3],[1, 1]
163,10,8,2,[6, 6, 6, 6, 4, 4, 4, 6],[3, 3]
164,10,7,3,[4, 2, 3, 3, 3, 3, 3],[6, 5, 1]
165,10,6,4,[4, 2, 3, 2, 3, 2],[5, 5, 5, 1]
166,10,5,5,[6, 4, 4, 4, 4],[7, 7, 1, 2, 7]
167,10,8,2,[8, 6, 7, 5, 6, 5, 7, 6],[9, 1]
168,10,7,3,[3, 6, 6, 4, 5, 3, 3],[8, 7, 2]
169,10,7,3,[6, 7, 7, 5, 6, 6, 6],[2, 1, 9]
170,10,5,5,[5, 5, 5, 4, 5],[2, 1, 6, 1, 6]
171,10,7,3,[6, 4, 7, 7, 7, 7, 6],[9, 3, 2]
172,10,8,2,[4, 6, 4, 6, 7, 7, 4, 6],[3, 9]
173,10,6,4,[6, 4, 6, 6, 6, 6],[2, 3, 7, 2]
175,10,6,4,[4, 5, 5, 3, 3, 5],[6, 1, 6, 6]
176,10,4,6,[5, 6, 4, 5],[7, 7, 3, 3, 7, 2]
177,10,6,4,[4, 4, 4, 3, 5, 5],[6, 1, 1, 6]
178,10,7,3,[3, 4, 4, 3, 5, 5, 5],[6, 2, 1]
179,10,6,4,[6, 4, 6, 6, 6, 4],[7, 2, 3, 3]
181,10,7,3,[8, 6, 6, 7, 8, 7, 8],[3, 3, 1]
182,10,6,4,[4, 5, 5, 5, 5, 6],[7, 7, 7, 2]
183,10,6,4,[5, 4, 4, 3, 6, 3],[7, 1, 7, 1]
184,10,6,4,[3, 3, 3, 6, 6, 5],[8, 7, 1, 2]
185,10,4,6,[5, 4, 4, 5],[6, 6, 6, 3, 2, 3]
186,10,6,4,[3, 4, 5, 4, 5, 5],[6, 7, 1, 1]
187,10,5,5,[6, 6, 2, 4, 6],[1, 1, 1, 7, 7]
188,10,5,5,[5, 4, 5, 4, 4],[6, 3, 3, 6, 6]
189,10,7,3,[5, 5, 5, 5, 5, 4, 3],[1, 1, 9]
190,10,7,3,[6, 3, 6, 6, 3, 4, 6],[2, 9, 2]
191,10,7,3,[4, 3, 5, 3, 5, 4, 5],[2, 6, 1]
192,10,7,3,[5, 5, 6, 5, 5, 5, 6],[7, 2, 7]
193,10,8,2,[4, 6, 5, 6, 5, 6, 5, 6],[2, 2]
194,10,6,4,[5, 5, 5, 3, 5, 5],[6, 2, 1, 1]
195,10,7,3,[5, 5, 6, 5, 6, 6, 6],[7, 2, 7]
196,10,8,2,[3, 3, 3, 3, 5, 6, 6, 5],[8, 1]
197,10,4,6,[5, 3, 3, 2],[6, 1, 1, 6, 6, 6]
198,10,7,3,[6, 5, 3, 3, 3, 4, 6],[7, 2, 8]
199,10,9,1,[5, 5, 4, 4, 4, 5, 6, 6, 4],[9]
200,10,6,4,[3, 5, 5, 4, 5, 5],[1, 6, 6, 2]
201,10,8,2,[4, 3, 5, 5, 5, 5, 3, 3],[1, 6]
202,10,6,4,[5, 6, 5, 6, 6, 5],[7, 7, 4, 7]
203,10,9,1,[6, 7, 6, 7, 6, 6, 6, 7, 5],[1]
204,10,5,5,[5, 6, 5, 6, 5],[1, 8, 1, 7, 2]
205,10,8,2,[2, 1, 2, 2, 1, 1, 3, 3],[5, 6]
206,10,7,3,[6, 4, 6, 6, 5, 4, 5],[7, 3, 1]
207,10,8,2,[6, 6, 5, 6, 6, 5, 6, 5],[7, 4]
208,10,7,3,[4, 6, 5, 5, 6, 5, 4],[7, 3, 7]
209,10,8,2,[6, 6, 6, 6, 6, 4, 5, 5],[3, 1]
210,10,7,3,[6, 6, 3, 4, 4, 4, 6],[2, 9, 1]
211,10,6,4,[3, 5, 3, 6, 3, 3],[8, 1, 7, 7]
212,10,7,3,[7, 7, 6, 7, 7, 7, 7],[9, 5, 4]
213,10,8,2,[3, 3, 3, 3, 3, 4, 4, 4],[5, 1]
214,10,5,5,[3, 5, 4, 3, 4],[1, 6, 6, 7, 2]
215,10,6,4,[4, 2, 2, 3, 4, 3],[6, 6, 6, 1]
216,10,7,3,[5, 7, 5, 7, 6, 7, 5],[1, 8, 8]
217,10,5,5,[5, 5, 6, 6, 6],[3, 9, 3, 9, 3]
218,10,7,3,[6, 6, 7, 6, 6, 6, 7],[3, 3, 1]
219,10,5,5,[5, 3, 4, 5, 2],[6, 6, 1, 1, 6]
220,10,8,2,[3, 5, 6, 3, 3, 6, 6, 5],[2, 7]
221,10,6,4,[5, 6, 5, 6, 4, 4],[7, 3, 1, 7]
222,10,5,5,[6, 5, 5, 6, 5],[4, 7, 7, 7, 4]
223,10,5,5,[5, 7, 7, 4, 6],[1, 8, 2, 9, 2]
224,10,6,4,[5, 5, 6, 6, 6, 6],[4, 7, 4, 4]
225,10,7,3,[6, 3, 4, 3, 3, 4, 3],[7, 8, 1]
226,10,6,4,[3, 3, 6, 4, 3, 6],[2, 2, 9, 7]
227,10,7,3,[5, 6, 6, 6, 5, 7, 6],[9, 3, 8]
228,10,5,5,[5, 5, 4, 5, 3],[6, 2, 6, 2, 1]
229,10,6,4,[6, 6, 5, 4, 6, 4],[3, 2, 7, 7]
230,10,6,4,[6, 6, 6, 5, 6, 6],[4, 4, 4, 7]
231,10,9,1,[6, 6, 6, 5, 5, 6, 6, 6, 5],[1]
232,10,8,2,[5, 5, 3, 4, 3, 4, 3, 4],[6, 1]
233,10,9,1,[6, 7, 7, 5, 6, 4, 5, 6, 7],[1]
234,10,4,6,[3, 4, 5, 3],[2, 6, 2, 6, 6, 6]
235,10,6,4,[3, 3, 4, 3, 3, 4],[5, 6, 2, 5]
236,10,5,5,[5, 5, 5, 5, 4],[6, 6, 6, 2, 3]
237,10,4,6,[6, 5, 5, 5],[7, 7, 7, 3, 7, 4]
238,10,7,3,[5, 6, 6, 6, 7, 5, 5],[9, 4, 4]
239,10,6,4,[5, 6, 5, 6, 5, 5],[3, 7, 7, 3]
240,10,7,3,[4, 6, 4, 5, 6, 6, 6],[9, 2, 3]
241,10,7,3,[4, 5, 4, 3, 3, 3, 3],[6, 6, 7]
242,10,6,4,[6, 6, 6, 6, 4, 5],[7, 3, 3, 3]
243,10,7,3,[3, 4, 3, 4, 3, 3, 3],[5, 2, 5]
244,10,6,4,[5, 3, 5, 5, 3, 3],[6, 1, 1, 1]
245,10,5,5,[5, 5, 3, 4, 4],[6, 6, 2, 6, 2]
246,10,6,4,[6, 6, 4, 5, 6, 6],[3, 7, 3, 3]
247,10,7,3,[4, 4, 5, 6, 6, 5, 6],[7, 2, 1]
248,10,6,4,[5, 4, 4, 3, 3, 5],[6, 6, 6, 1]
249,10,6,4,[5, 3, 5, 5, 4, 3],[6, 1, 6, 6]
250,10,5,5,[6, 5, 5, 6, 6],[3, 3, 1, 7, 7]
251,10,7,3,[6, 3, 4, 6, 6, 3, 5],[1, 7, 1]
252,10,5,5,[4, 7, 4, 6, 6],[3, 8, 3, 8, 3]
253,10,6,4,[5, 3, 3, 3, 3, 5],[1, 7, 7, 9]
254,10,4,6,[4, 6, 6, 4],[7, 2, 2, 7, 7, 2]
255,10,6,4,[4, 6, 4, 6, 5, 5],[7, 3, 7, 1]
256,10,6,4,[6, 4, 4, 3, 5, 6],[7, 9, 2, 2]
257,10,7,3,[6, 6, 6, 6, 4, 7, 5],[8, 1, 3]
258,10,8,2,[3, 6, 6, 4, 3, 6, 6, 5],[9, 1]
259,10,7,3,[5, 4, 3, 5, 3, 4, 3],[8, 2, 2]
260,10,4,6,[5, 5, 4, 4],[6, 6, 3, 6, 3, 6]
261,10,6,4,[4, 3, 3, 5, 3, 4],[6, 6, 7, 1]
262,10,6,4,[3, 4, 5, 5, 5, 4],[7, 2, 2, 6]
263,10,5,5,[6, 5, 6, 5, 5],[3, 3, 3, 7, 7]
264,10,5,5,[3, 5, 5, 3, 4],[7, 7, 2, 7, 1]
265,10,7,3,[5, 5, 5, 3, 5, 4, 4],[1, 6, 1]
266,10,7,3,[6, 4, 5, 6, 6, 5, 6],[3, 3, 9]
267,10,7,3,[3, 7, 3, 4, 7, 6, 7],[2, 9, 1]
268,10,6,4,[3, 5, 4, 4, 3, 4],[6, 2, 7, 6]
269,10,7,3,[4, 4, 4, 5, 3, 5, 5],[2, 7, 1]
270,10,7,3,[6, 6, 6, 3, 3, 4, 3],[8, 7, 2]
271,10,7,3,[5, 6, 5, 6, 5, 6, 5],[3, 7, 4]
272,10,7,3,[7, 7, 7, 6, 6, 7, 7],[1, 9, 2]
273,10,6,4,[6, 4, 7, 6, 4, 6],[3, 8, 8, 2]
274,10,6,4,[5, 5, 5, 5, 5, 5],[6, 6, 6, 6]
275,10,5,5,[5, 4, 4, 4, 4],[6, 7, 6, 2, 3]
276,10,7,3,[5, 7, 5, 5, 5, 5, 5],[1, 9, 2]
277,10,7,3,[5, 4, 6, 5, 3, 6, 5],[2, 1, 7]
278,10,7,3,[6, 4, 6, 6, 3, 5, 3],[2, 1, 7]
279,10,6,4,[6, 6, 5, 6, 6, 4],[3, 7, 2, 7]
280,10,7,3,[6, 5, 6, 4, 4, 5, 6],[2, 7, 8]
281,10,6,4,[2, 3, 3, 2, 3, 3],[5, 1, 5, 1]
282,10,6,4,[7, 4, 8, 7, 8, 7],[2, 2, 9, 3]
283,10,6,4,[3, 3, 4, 4, 4, 3],[7, 6, 6, 1]
284,10,8,2,[6, 6, 6, 4, 6, 4, 7, 6],[8, 1]
285,10,5,5,[4, 6, 6, 6, 5],[3, 2, 7, 7, 7]
287,10,4,6,[4, 4, 4, 5],[6, 7, 3, 3, 3, 6]
288,10,6,4,[4, 6, 4, 3, 4, 4],[1, 7, 7, 2]
289,10,7,3,[4, 5, 3, 3, 5, 5, 3],[1, 6, 6]
290,10,7,3,[4, 6, 6, 6, 5, 5, 4],[1, 2, 7]
291,10,7,3,[7, 6, 6, 7, 6, 7, 7],[5, 8, 8]
292,10,7,3,[6, 5, 7, 7, 4, 7, 6],[3, 3, 8]
293,10,7,3,[5, 6, 6, 6, 3, 5, 4],[2, 2, 9]
294,10,6,4,[5, 5, 4, 5, 5, 4],[6, 6, 6, 3]
295,10,8,2,[5, 4, 5, 7, 6, 4, 4, 7],[1, 8]
296,10,6,4,[4, 6, 5, 5, 5, 6],[3, 2, 3, 7]
297,10,8,2,[5, 6, 5, 6, 6, 6, 5, 6],[1, 7]
298,10,9,1,[6, 5, 6, 4, 6, 3, 6, 4, 3],[1]
299,10,6,4,[4, 6, 6, 4, 5, 5],[1, 1, 7, 7]
300,10,6,4,[8, 7, 7, 6, 7, 7],[3, 9, 9, 4]
301,10,5,5,[4, 7, 5, 5, 6],[8, 3, 8, 3, 9]
302,10,6,4,[5, 5, 5, 5, 5, 6],[2, 7, 2, 2]
303,10,5,5,[5, 5, 5, 5, 4],[3, 3, 3, 6, 6]
304,10,8,2,[4, 4, 6, 6, 6, 6, 5, 6],[3, 9]
305,10,4,6,[5, 6, 6, 5],[7, 4, 7, 4, 7, 4]
306,10,6,4,[3, 4, 5, 5, 2, 2],[7, 1, 1, 1]
307,10,8,2,[7, 8, 7, 8, 7, 8, 7, 7],[9, 1]
308,10,5,5,[5, 4, 4, 5, 3],[6, 2, 6, 1, 6]
309,10,6,4,[6, 5, 6, 5, 6, 6],[7, 4, 7, 3]
310,10,6,4,[6, 6, 6, 5, 7, 5],[8, 8, 3, 3]
311,10,5,5,[4, 5, 5, 3, 5],[2, 2, 6, 6, 1]
312,10,6,4,[5, 4, 5, 4, 4, 5],[6, 6, 3, 6]
313,10,8,2,[5, 2, 3, 4, 5, 3, 4, 2],[6, 1]
314,10,8,2,[3, 3, 4, 4, 4, 3, 3, 3],[1, 5]
316,10,6,4,[5, 5, 3, 4, 3, 3],[6, 2, 2, 6]
317,10,5,5,[6, 4, 6, 6, 6],[7, 2, 7, 3, 2]
318,10,7,3,[3, 3, 5, 5, 3, 3, 5],[1, 6, 6]
319,10,7,3,[5, 5, 5, 3, 5, 4, 5],[1, 2, 2]
320,10,6,4,[6, 4, 6, 6, 5, 3],[8, 2, 7, 1]
321,10,4,6,[5, 4, 5, 5],[1, 6, 1, 7, 1, 1]
322,10,7,3,[4, 4, 4, 6, 6, 5, 6],[7, 3, 7]
323,10,5,5,[4, 4, 4, 5, 5],[3, 7, 3, 6, 6]
324,10,3,7,[6, 6, 6],[5, 7, 7, 7, 5, 5, 7]
325,10,7,3,[6, 4, 6, 4, 5, 6, 5],[7, 1, 3]
326,10,8,2,[5, 6, 5, 6, 5, 5, 5, 6],[3, 8]
327,10,4,6,[5, 6, 6, 6],[4, 4, 7, 4, 4, 7]
328,10,4,6,[4, 5, 5, 5],[3, 6, 3, 3, 6, 6]
329,10,6,4,[3, 4, 4, 3, 4, 5],[6, 1, 2, 6]
330,10,6,4,[2, 4, 2, 3, 2, 4],[5, 1, 5, 5]
331,10,7,3,[5, 5, 3, 3, 5, 5, 3],[1, 6, 1]
332,10,8,2,[6, 6, 5, 4, 6, 4, 5, 6],[7, 1]
333,10,6,4,[4, 4, 7, 7, 7, 6],[3, 2, 8, 8]
334,10,6,4,[4, 4, 3, 4, 5, 5],[6, 6, 6, 1]
335,10,5,5,[6, 6, 6, 4, 5],[7, 2, 3, 7, 7]
336,10,5,5,[4, 5, 3, 3, 5],[2, 6, 6, 1, 2]
337,10,8,2,[5, 5, 2, 3, 2, 5, 2, 5],[1, 6]
339,10,6,4,[3, 6, 5, 4, 5, 5],[7, 8, 1, 2]
340,10,7,3,[4, 5, 4, 5, 5, 5, 5],[6, 6, 1]
341,10,7,3,[5, 6, 5, 6, 5, 6, 6],[8, 4, 4]
343,10,6,4,[6, 5, 6, 5, 5, 6],[4, 7, 8, 4]
344,10,8,2,[3, 5, 6, 3, 4, 5, 3, 6],[1, 8]
345,10,7,3,[6, 6, 6, 4, 5, 6, 4],[7, 2, 7]
346,10,8,2,[6, 5, 4, 6, 5, 4, 5, 4],[2, 7]
348,10,5,5,[6, 3, 3, 4, 4],[8, 8, 7, 2, 2]
349,10,6,4,[6, 6, 6, 6, 5, 6],[7, 4, 7, 3]
350,10,7,3,[3, 5, 3, 5, 3, 5, 4],[2, 1, 6]
351,10,6,4,[6, 4, 4, 4, 3, 6],[1, 7, 7, 7]
352,10,7,3,[7, 6, 7, 6, 6, 6, 7],[1, 8, 3]
353,10,4,6,[4, 5, 3, 4],[7, 7, 7, 7, 1, 2]
354,10,7,3,[6, 7, 7, 7, 4, 6, 5],[3, 3, 8]
355,10,6,4,[5, 3, 5, 5, 3, 5],[2, 6, 2, 2]
356,10,6,4,[5, 5, 5, 5, 5, 5],[6, 6, 3, 6]
357,10,7,3,[3, 5, 4, 3, 6, 3, 5],[7, 7, 1]
358,10,8,2,[7, 5, 6, 7, 7, 6, 6, 7],[2, 3]
359,10,6,4,[4, 4, 5, 3, 4, 3],[7, 6, 1, 6]
360,10,7,3,[4, 6, 6, 5, 3, 6, 3],[7, 7, 1]
361,10,6,4,[6, 6, 5, 6, 5, 6],[4, 8, 9, 3]
363,10,7,3,[6, 5, 5, 6, 6, 5, 6],[1, 7, 1]
364,10,6,4,[2, 3, 4, 3, 5, 5],[1, 6, 1, 6]
365,10,9,1,[2, 2, 3, 3, 2, 4, 3, 4, 3],[7]
366,10,6,4,[7, 5, 7, 5, 6, 5],[2, 8, 1, 9]
367,10,6,4,[7, 5, 6, 7, 7, 8],[2, 4, 9, 9]
368,10,6,4,[5, 5, 6, 5, 5, 4],[2, 3, 7, 9]
369,10,9,1,[5, 3, 4, 5, 4, 3, 5, 4, 5],[2]
370,10,6,4,[6, 4, 6, 4, 6, 5],[3, 7, 7, 3]
