1,10,6,4,[3, 3, 4, 3, 3, 4],[5, 2, 5, 5]
138,10,9,1,[4, 3, 4, 3, 5, 4, 5, 3, 3],[6]
139,10,8,2,[6, 7, 7, 5, 7, 7, 7, 6],[9, 2]
140,10,4,6,[5, 6, 4, 6],[7, 3, 7, 2, 7, 3]
141,10,7,3,[4, 4, 4, 3, 4, 4, 3],[5, 1, 5]
142,10,9,1,[6, 6, 5, 5, 5, 7, 6, 5, 7],[9]
143,10,5,5,[5, 6, 6, 6, 6],[7, 4, 7, 4, 7]
144,10,7,3,[7, 7, 6, 6, 7, 7, 6],[9, 2, 4]
145,10,5,5,[5, 5, 5, 6, 4],[3, 7, 7, 3, 3]
146,10,6,4,[6, 6, 6, 6, 7, 6],[5, 9, 9, 9]
147,10,5,5,[7, 7, 7, 7, 6],[8, 4, 5, 8, 5]
148,10,7,3,[5, 6, 7, 5, 7, 7, 6],[4, 4, 8]
149,10,7,3,[4, 3, 5, 5, 5, 3, 5],[6, 6, 1]
150,10,4,6,[5, 3, 5, 3],[7, 7, 1, 7, 2, 7]
151,10,5,5,[6, 6, 5, 5, 5],[7, 7, 4, 4, 4]
152,10,7,3,[5, 7, 5, 6, 6, 7, 6],[4, 8, 8]
153,10,6,4,[6, 6, 6, 6, 6, 6],[7, 7, 7, 7]
154,10,6,4,[7, 6, 7, 6, 6, 6],[8, 3, 3, 9]
155,10,8,2,[3, 3, 4, 3, 3, 3, 4, 4],[1, 7]
156,10,7,3,[3, 4, 3, 3, 3, 3, 4],[2, 1, 5]
157,10,6,4,[5, 5, 4, 4, 4, 5],[3, 3, 3, 6]
158,10,7,3,[5, 5, 6, 5, 5, 5, 5],[7, 4, 7]
159,10,7,3,[5, 3, 3, 6, 3, 4, 5],[7, 7, 1]
160,10,8,2,[5, 6, 6, 6, 5, 5, 5, 5],[1, 9]
161,10,7,3,[5, 5, 5, 5, 5, 5, 5],[4, 6, 4]
162,10,7,3,[6, 5, 7, 6, 5, 4, 5],[8, 1, 8]
163,10,7,3,[7, 7, 7, 7, 7, 7, 7],[6, 8, 6]
164,10,9,1,[6, 6, 6, 6, 5, 6, 5, 5, 6],[2]
165,10,6,4,[5, 5, 5, 5, 5, 5],[6, 6, 6, 6]
166,10,8,2,[7, 6, 5, 6, 7, 6, 7, 7],[4, 4]
167,10,8,2,[7, 7, 7, 8, 7, 7, 7, 7],[9, 4]
168,10,8,2,[7, 6, 7, 7, 4, 7, 4, 6],[3, 3]
169,10,5,5,[7, 7, 7, 6, 7],[8, 5, 5, 9, 5]
170,10,7,3,[6, 6, 6, 6, 5, 6, 5],[4, 4, 3]
171,10,5,5,[8, 8, 8, 8, 8],[7, 9, 7, 7, 9]
172,10,5,5,[6, 5, 6, 6, 6],[4, 3, 7, 7, 7]
173,10,7,3,[8, 6, 6, 7, 6, 7, 6],[3, 9, 2]
175,10,7,3,[4, 4, 4, 4, 4, 4, 4],[5, 3, 3]
176,10,9,1,[4, 4, 4, 3, 3, 3, 4, 4, 3],[2]
177,10,9,1,[6, 6, 5, 6, 6, 7, 7, 6, 6],[1]
178,10,6,4,[5, 4, 4, 5, 5, 5],[3, 6, 6, 3]
179,10,5,5,[7, 7, 6, 6, 6],[8, 5, 5, 8, 5]
181,10,8,2,[3, 3, 3, 3, 3, 3, 2, 2],[7, 5]
182,10,8,2,[4, 4, 5, 5, 4, 5, 4, 5],[7, 3]
183,10,7,3,[3, 3, 3, 4, 4, 3, 3],[5, 2, 5]
184,10,7,3,[4, 5, 5, 4, 4, 5, 5],[2, 7, 3]
185,10,7,3,[4, 5, 4, 4, 4, 4, 5],[6, 6, 7]
186,10,6,4,[3, 4, 3, 3, 4, 4],[2, 6, 5, 2]
187,10,6,4,[4, 6, 6, 4, 5, 5],[1, 7, 7, 7]
188,10,8,2,[6, 5, 5, 5, 6, 6, 6, 5],[4, 7]
189,10,6,4,[7, 6, 7, 7, 7, 7],[5, 8, 9, 5]
190,10,8,2,[7, 7, 6, 6, 6, 6, 7, 7],[9, 4]
191,10,8,2,[6, 6, 7, 7, 6, 6, 7, 7],[5, 9]
192,10,8,2,[6, 7, 7, 7, 7, 6, 6, 6],[5, 8]
193,10,9,1,[6, 6, 6, 7, 6, 6, 7, 7, 7],[8]
194,10,5,5,[5, 5, 5, 5, 5],[6, 6, 4, 6, 6]
195,10,8,2,[7, 7, 7, 7, 7, 6, 6, 7],[5, 5]
196,10,8,2,[6, 6, 7, 6, 7, 7, 6, 7],[8, 1]
197,10,7,3,[3, 3, 4, 3, 4, 4, 4],[6, 5, 1]
198,10,9,1,[7, 7, 6, 6, 7, 7, 7, 6, 7],[4]
199,10,7,3,[6, 5, 5, 6, 6, 6, 6],[3, 7, 4]
200,10,7,3,[5, 6, 5, 6, 6, 6, 5],[3, 7, 7]
201,10,7,3,[5, 5, 5, 5, 5, 5, 5],[4, 7, 6]
202,10,9,1,[3, 4, 4, 3, 3, 4, 3, 3, 3],[5]
203,10,4,6,[4, 4, 4, 4],[3, 3, 3, 3, 5, 5]
204,10,8,2,[6, 7, 6, 5, 7, 5, 7, 7],[1, 9]
205,10,7,3,[5, 5, 6, 5, 5, 5, 5],[7, 3, 1]
206,10,4,6,[4, 4, 4, 4],[3, 5, 3, 5, 5, 3]
207,10,5,5,[4, 4, 5, 5, 5],[3, 3, 7, 6, 3]
208,10,6,4,[6, 6, 6, 6, 6, 6],[7, 7, 5, 4]
209,10,5,5,[6, 6, 6, 6, 6],[4, 7, 7, 5, 7]
210,10,9,1,[5, 4, 4, 4, 6, 4, 6, 5, 5],[7]
211,10,7,3,[2, 4, 3, 3, 3, 3, 3],[1, 5, 7]
212,10,7,3,[8, 8, 6, 7, 7, 7, 7],[9, 4, 9]
213,10,6,4,[5, 4, 4, 5, 4, 5],[3, 3, 3, 6]
214,10,9,1,[7, 6, 7, 6, 7, 7, 5, 7, 5],[1]
215,10,9,1,[4, 3, 4, 3, 5, 3, 3, 4, 4],[7]
216,10,4,6,[6, 7, 6, 7],[5, 9, 5, 8, 8, 5]
217,10,5,5,[7, 7, 7, 7, 7],[9, 6, 6, 9, 6]
218,10,8,2,[6, 7, 6, 7, 6, 7, 7, 7],[9, 5]
219,10,5,5,[5, 5, 5, 5, 5],[6, 4, 6, 6, 6]
220,10,4,6,[6, 6, 6, 6],[5, 5, 7, 7, 7, 5]
221,10,6,4,[7, 6, 6, 7, 7, 7],[9, 5, 8, 4]
222,10,6,4,[6, 6, 5, 4, 6, 4],[3, 8, 7, 3]
223,10,6,4,[7, 7, 6, 7, 6, 6],[5, 9, 5, 8]
224,10,6,4,[7, 6, 7, 7, 7, 6],[5, 5, 4, 8]
225,10,7,3,[3, 4, 5, 5, 3, 4, 4],[1, 6, 6]
226,10,7,3,[6, 8, 8, 7, 8, 7, 7],[9, 9, 4]
227,10,6,4,[7, 6, 7, 6, 6, 6],[9, 5, 8, 8]
228,10,7,3,[5, 5, 5, 5, 6, 6, 5],[8, 4, 4]
229,10,7,3,[3, 4, 3, 4, 4, 4, 4],[6, 2, 6]
230,10,5,5,[6, 5, 6, 5, 6],[7, 3, 4, 7, 4]
231,10,6,4,[6, 6, 6, 6, 7, 7],[4, 8, 9, 5]
232,10,7,3,[4, 6, 5, 5, 4, 5, 4],[1, 7, 7]
233,10,9,1,[6, 8, 8, 7, 7, 7, 6, 7, 7],[1]
234,10,8,2,[7, 6, 6, 6, 7, 7, 7, 6],[4, 8]
235,10,9,1,[4, 5, 5, 4, 5, 5, 5, 5, 5],[3]
236,10,6,4,[6, 6, 6, 6, 6, 6],[5, 7, 5, 7]
237,10,7,3,[6, 7, 7, 7, 7, 7, 6],[5, 5, 4]
238,10,8,2,[7, 7, 7, 7, 8, 8, 6, 7],[9, 4]
239,10,4,6,[6, 6, 6, 6],[7, 7, 7, 5, 5, 7]
240,10,6,4,[6, 7, 6, 6, 6, 6],[8, 4, 4, 8]
241,10,7,3,[7, 7, 7, 7, 7, 7, 7],[5, 4, 8]
242,10,8,2,[6, 7, 7, 7, 6, 6, 5, 6],[3, 8]
243,10,5,5,[6, 6, 6, 6, 6],[7, 7, 5, 5, 5]
244,10,9,1,[6, 5, 5, 6, 5, 5, 5, 5, 5],[1]
245,10,5,5,[5, 5, 5, 6, 6],[7, 4, 7, 7, 3]
246,10,5,5,[6, 6, 5, 6, 6],[3, 7, 7, 4, 4]
247,10,8,2,[5, 6, 5, 5, 6, 5, 5, 6],[7, 7]
248,10,6,4,[6, 6, 6, 6, 6, 6],[5, 7, 5, 7]
249,10,7,3,[7, 7, 7, 7, 7, 7, 7],[6, 9, 8]
250,10,8,2,[7, 6, 7, 6, 6, 7, 7, 7],[5, 8]
251,10,3,7,[4, 4, 4],[3, 3, 5, 3, 3, 5, 5]
252,10,7,3,[5, 4, 3, 5, 4, 3, 3],[6, 2, 6]
253,10,8,2,[5, 5, 5, 5, 5, 6, 5, 5],[7, 9]
254,10,7,3,[3, 3, 3, 3, 3, 3, 3],[4, 4, 4]
255,10,3,7,[6, 6, 6],[7, 5, 7, 7, 5, 5, 5]
256,10,7,3,[7, 7, 7, 6, 6, 5, 7],[8, 4, 4]
257,10,6,4,[6, 7, 7, 6, 6, 7],[8, 5, 8, 5]
258,10,7,3,[4, 5, 6, 5, 5, 4, 4],[1, 7, 7]
259,10,7,3,[5, 5, 6, 5, 5, 5, 5],[7, 7, 7]
260,10,6,4,[6, 6, 6, 6, 6, 6],[7, 7, 5, 7]
261,10,8,2,[6, 6, 7, 6, 7, 5, 5, 5],[9, 2]
262,10,5,5,[5, 5, 5, 5, 5],[4, 4, 6, 4, 4]
263,10,8,2,[4, 5, 5, 5, 5, 4, 5, 4],[3, 3]
264,10,8,2,[7, 7, 6, 7, 7, 5, 7, 7],[4, 3]
265,10,9,1,[5, 6, 5, 5, 6, 5, 5, 6, 6],[7]
266,10,7,3,[7, 7, 7, 6, 7, 6, 6],[5, 8, 9]
267,10,8,2,[6, 7, 7, 7, 7, 7, 7, 6],[5, 9]
268,10,5,5,[6, 5, 4, 6, 5],[7, 3, 7, 3, 3]
269,10,9,1,[4, 5, 3, 4, 3, 4, 4, 3, 3],[7]
270,10,4,6,[4, 4, 5, 6],[3, 3, 3, 8, 7, 7]
271,10,6,4,[7, 7, 7, 7, 7, 7],[6, 6, 8, 6]
272,10,7,3,[8, 7, 7, 7, 6, 8, 8],[5, 9, 3]
273,10,8,2,[6, 7, 6, 6, 6, 7, 6, 6],[4, 8]
274,10,8,2,[6, 5, 5, 6, 6, 5, 6, 5],[4, 3]
275,10,7,3,[4, 5, 4, 5, 4, 4, 5],[7, 3, 3]
276,10,8,2,[5, 4, 5, 5, 4, 5, 5, 5],[1, 1]
277,10,6,4,[5, 5, 5, 5, 5, 5],[6, 6, 4, 4]
278,10,8,2,[6, 6, 5, 6, 6, 5, 6, 6],[3, 9]
279,10,8,2,[3, 3, 3, 4, 3, 3, 3, 4],[5, 2]
280,10,8,2,[3, 4, 4, 3, 4, 5, 4, 4],[7, 1]
281,10,7,3,[5, 5, 4, 5, 4, 3, 5],[1, 7, 2]
282,10,6,4,[2, 3, 2, 3, 3, 3],[5, 6, 1, 1]
283,10,7,3,[3, 3, 3, 4, 4, 3, 3],[7, 6, 1]
284,10,7,3,[4, 4, 3, 4, 4, 3, 4],[2, 1, 5]
285,10,7,3,[4, 3, 3, 4, 4, 4, 3],[7, 2, 2]
287,10,7,3,[4, 4, 4, 3, 3, 3, 4],[1, 5, 2]
288,10,6,4,[5, 3, 3, 3, 4, 3],[6, 2, 1, 6]
289,10,7,3,[3, 4, 4, 3, 3, 4, 4],[5, 1, 5]
290,10,6,4,[6, 5, 6, 6, 6, 5],[7, 7, 7, 4]
291,10,9,1,[2, 2, 3, 3, 2, 3, 3, 2, 3],[6]
292,10,6,4,[3, 3, 3, 3, 3, 3],[4, 4, 2, 2]
293,10,8,2,[3, 3, 2, 2, 2, 3, 4, 4],[6, 1]
294,10,5,5,[4, 4, 4, 5, 5],[6, 3, 7, 6, 3]
295,10,9,1,[5, 5, 5, 5, 5, 5, 5, 5, 5],[8]
296,10,8,2,[5, 4, 4, 4, 5, 5, 5, 5],[3, 3]
297,10,8,2,[5, 5, 5, 5, 5, 5, 5, 5],[1, 3]
298,10,7,3,[6, 7, 6, 5, 6, 5, 6],[3, 8, 3]
299,10,9,1,[6, 6, 5, 6, 4, 6, 5, 6, 6],[1]
300,10,8,2,[2, 3, 2, 2, 3, 3, 2, 3],[1, 4]
301,10,8,2,[2, 5, 2, 4, 4, 3, 2, 4],[8, 1]
302,10,9,1,[5, 5, 4, 5, 5, 5, 5, 5, 4],[3]
303,10,7,3,[3, 4, 3, 4, 3, 3, 3],[5, 5, 5]
304,10,8,2,[5, 5, 5, 5, 5, 5, 5, 6],[7, 8]
305,10,6,4,[4, 4, 5, 6, 5, 4],[7, 3, 3, 7]
306,10,8,2,[6, 5, 5, 5, 6, 5, 7, 6],[1, 9]
307,10,8,2,[3, 3, 4, 3, 2, 2, 4, 3],[1, 5]
308,10,8,2,[3, 5, 4, 4, 6, 4, 5, 6],[7, 1]
309,10,9,1,[4, 4, 4, 3, 3, 3, 3, 4, 3],[5]
310,10,6,4,[3, 3, 3, 3, 3, 3],[2, 4, 4, 2]
311,10,6,4,[4, 4, 4, 5, 5, 5],[3, 6, 6, 6]
312,10,4,6,[4, 4, 4, 5],[7, 3, 3, 6, 6, 3]
313,10,8,2,[5, 4, 4, 4, 5, 4, 5, 5],[3, 7]
314,10,7,3,[6, 5, 6, 5, 6, 5, 5],[4, 4, 7]
316,10,7,3,[6, 6, 6, 7, 7, 7, 7],[3, 3, 4]
317,10,5,5,[4, 4, 5, 4, 4],[3, 2, 6, 6, 6]
318,10,7,3,[6, 6, 5, 5, 5, 5, 5],[8, 3, 2]
319,10,9,1,[5, 6, 6, 5, 5, 5, 6, 5, 5],[7]
320,10,7,3,[5, 3, 5, 5, 3, 5, 4],[2, 6, 1]
321,10,8,2,[5, 5, 5, 5, 6, 5, 5, 5],[8, 1]
322,10,8,2,[5, 6, 5, 4, 5, 6, 4, 5],[7, 3]
323,10,6,4,[5, 4, 4, 4, 4, 5],[8, 7, 7, 3]
324,10,8,2,[5, 6, 5, 5, 6, 5, 5, 5],[7, 8]
325,10,8,2,[7, 7, 7, 5, 7, 5, 5, 6],[9, 3]
326,10,6,4,[3, 4, 3, 3, 3, 3],[6, 6, 7, 6]
327,10,7,3,[4, 4, 4, 5, 5, 4, 4],[8, 7, 2]
328,10,7,3,[6, 6, 6, 6, 5, 6, 5],[7, 4, 7]
329,10,7,3,[6, 6, 6, 6, 7, 7, 6],[8, 5, 5]
330,10,7,3,[5, 5, 6, 5, 5, 6, 5],[7, 7, 4]
331,10,6,4,[5, 5, 5, 5, 5, 5],[6, 6, 3, 4]
332,10,8,2,[3, 4, 4, 3, 3, 5, 3, 3],[7, 6]
333,10,8,2,[3, 3, 3, 4, 3, 4, 2, 3],[6, 1]
334,10,7,3,[4, 4, 4, 4, 4, 4, 4],[3, 3, 5]
335,10,7,3,[4, 3, 4, 4, 3, 4, 3],[6, 2, 5]
336,10,9,1,[3, 5, 4, 5, 5, 4, 4, 5, 3],[1]
337,10,8,2,[5, 6, 5, 5, 6, 5, 5, 6],[7, 3]
339,10,9,1,[6, 6, 7, 5, 5, 5, 5, 7, 6],[9]
340,10,7,3,[4, 5, 5, 4, 5, 4, 5],[3, 7, 3]
341,10,7,3,[4, 3, 4, 3, 4, 4, 3],[2, 2, 5]
343,10,8,2,[4, 3, 4, 4, 3, 3, 3, 4],[5, 1]
344,10,6,4,[5, 4, 4, 6, 6, 4],[7, 1, 7, 2]
345,10,8,2,[2, 5, 2, 4, 3, 2, 4, 4],[1, 7]
346,10,7,3,[2, 3, 3, 3, 3, 2, 3],[1, 4, 4]
348,10,7,3,[2, 2, 3, 3, 4, 3, 4],[1, 5, 6]
349,10,8,2,[3, 5, 3, 5, 3, 5, 5, 4],[2, 7]
350,10,3,7,[4, 4, 4],[3, 5, 3, 5, 3, 5, 5]
351,10,6,4,[4, 4, 4, 3, 4, 4],[5, 1, 2, 5]
352,10,7,3,[3, 5, 4, 4, 3, 4, 3],[8, 6, 2]
353,10,7,3,[3, 3, 3, 4, 5, 3, 4],[2, 2, 8]
354,10,8,2,[3, 3, 3, 4, 3, 5, 5, 3],[7, 6]
355,10,7,3,[4, 4, 3, 4, 4, 4, 3],[5, 5, 2]
356,10,7,3,[4, 5, 4, 5, 5, 5, 5],[2, 6, 3]
357,10,5,5,[5, 5, 5, 5, 5],[3, 6, 3, 7, 3]
358,10,7,3,[3, 3, 2, 2, 3, 3, 3],[4, 4, 1]
359,10,7,3,[5, 5, 4, 5, 5, 4, 4],[3, 7, 3]
360,10,9,1,[4, 3, 3, 4, 3, 4, 4, 4, 4],[1]
361,10,5,5,[4, 3, 3, 3, 3],[5, 5, 5, 1, 5]
363,10,8,2,[4, 4, 3, 3, 4, 3, 3, 3],[5, 5]
364,10,8,2,[2, 3, 3, 4, 3, 3, 4, 3],[1, 6]
365,10,5,5,[6, 4, 5, 4, 6],[2, 7, 7, 3, 7]
366,10,9,1,[3, 3, 2, 2, 3, 3, 3, 3, 3],[1]
367,10,6,4,[3, 2, 2, 3, 3, 2],[5, 5, 1, 1]
368,10,8,2,[5, 3, 5, 3, 5, 3, 4, 5],[9, 2]
369,10,6,4,[5, 5, 6, 5, 5, 4],[7, 3, 7, 3]
370,10,7,3,[4, 4, 4, 4, 4, 4, 4],[2, 2, 2]
